P| 共 14281 条

########## 窗口 23:08:57 .. 23:09:27 ##########
  样本 66 条
  t           Rx      Ry      Rz   |  Δ(deg)  轴(器件系)                | 轴(世界系)
  23:11:14.996   -23.03   35.83    2.78  |    0.47  (-0.50,+0.74,+0.45)   (-0.37,+0.84,+0.39)
  23:11:16.363   -32.78   35.60   -8.04  |    9.43  (-0.36,+0.41,-0.83)   (-0.84,+0.01,-0.54)
  23:11:16.669   -30.86   35.85   -6.50  |    1.63  (+0.62,-0.27,+0.73)   (+0.97,+0.03,+0.26)
  23:11:17.017   -30.79   35.78   -6.69  |    0.25  (+0.73,+0.08,-0.68)   (+0.20,-0.31,-0.93)
  23:11:17.332   -31.29   35.83   -7.19  |    0.46  (-0.45,+0.55,-0.70)   (-0.87,+0.22,-0.45)
  23:11:17.733   -31.35   36.26   -7.49  |    0.51  (+0.23,+0.97,+0.03)   (+0.01,+0.85,-0.52)
  23:11:18.036   -31.06   36.66   -7.32  |    0.46  (+0.41,+0.59,+0.70)   (+0.61,+0.79,-0.01)
  23:11:18.392   -29.89   36.89   -6.38  |    0.99  (+0.61,-0.18,+0.77)   (+0.96,+0.12,+0.24)
  23:11:18.696   -27.67   36.98   -3.51  |    2.35  (+0.21,-0.44,+0.87)   (+0.76,-0.03,+0.65)
  23:11:19.048   -27.47   36.34   -2.84  |    0.86  (-0.23,-0.95,+0.21)   (+0.15,-0.75,+0.64)
  23:11:19.360   -26.77   35.71   -2.09  |    0.91  (+0.28,-0.92,+0.28)   (+0.59,-0.72,+0.37)
  23:11:20.062   -30.54   35.29   -6.28  |    3.69  (-0.36,+0.34,-0.87)   (-0.84,-0.05,-0.54)
  23:11:20.377   -30.84   35.20   -6.49  |    0.26  (-0.68,+0.04,-0.73)   (-0.96,-0.24,-0.14)
  23:11:22.418   -31.60   34.01   -5.22  |    2.17  (-0.68,-0.72,+0.13)   (-0.34,-0.52,+0.78)
  23:11:22.721   -31.37   32.70   -5.44  |    1.37  (+0.26,-0.75,-0.61)   (+0.05,-0.97,-0.25)
  23:11:23.433   -31.14   31.92   -6.30  |    1.27  (+0.54,-0.23,-0.81)   (+0.09,-0.63,-0.77)
  23:11:23.786   -33.13   29.91   -7.56  |    2.65  (-0.51,-0.43,-0.75)   (-0.73,-0.68,-0.09)
  23:11:24.088   -32.65   29.47   -8.02  |    0.92  (+0.77,-0.16,-0.62)   (+0.38,-0.53,-0.75)
  23:11:24.445   -33.02   30.77   -8.29  |    1.34  (-0.17,+0.91,+0.38)   (-0.10,+0.99,-0.06)
  23:11:24.748   -33.15   30.18   -9.11  |    0.96  (+0.30,-0.11,-0.95)   (-0.21,-0.59,-0.78)
  23:11:25.149   -32.37   29.75   -9.08  |    0.88  (+0.87,-0.43,-0.24)   (+0.68,-0.61,-0.41)
  23:11:25.477   -32.30   32.57   -7.91  |    3.04  (-0.18,+0.61,+0.77)   (+0.16,+0.91,+0.37)
  23:11:25.780   -30.93   35.80   -6.95  |    3.43  (+0.24,+0.68,+0.69)   (+0.45,+0.89,+0.06)
  23:11:26.134   -35.86   33.03  -14.22  |    6.65  (-0.12,+0.15,-0.98)   (-0.68,-0.30,-0.67)
  23:11:27.143   -36.33   31.98  -14.89  |    1.20  (-0.09,-0.43,-0.90)   (-0.54,-0.77,-0.35)
