t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
6716796,-0.159,-0.125,0.029,-0.013,0.013,-0.006,-108.276,-255.483,414.380,179.470,-2.580,-117.365,1,0.0547,0.0458,0.0424,0
6716875,-0.282,-0.286,0.040,-0.005,0.001,-0.003,-102.050,-251.723,428.771,179.505,-2.580,-117.368,1,0.0547,0.0458,0.0424,0
6716953,-0.119,-0.231,-0.010,-0.017,0.017,-0.003,-102.050,-251.723,428.771,179.505,-2.580,-117.368,1,0.0542,0.0447,0.0949,0
6717062,-0.278,-0.243,0.005,-0.012,0.011,-0.004,-100.032,-247.902,443.400,179.700,-2.580,-117.369,1,0.0342,0.0397,0.1220,0
6717171,0.002,-0.213,-0.259,-0.012,0.014,-0.003,-100.032,-247.902,443.400,179.700,-2.580,-117.369,1,0.0342,0.0397,0.1220,0
6717312,-0.121,-0.173,-0.071,-0.007,0.009,-0.004,-111.407,-247.469,451.839,179.670,-2.580,-117.370,1,-0.0071,0.0294,0.1115,0
6717359,-0.115,-0.203,-0.060,-0.003,0.011,-0.004,-111.407,-247.469,451.839,179.670,-2.580,-117.370,1,-0.0071,0.0294,0.1115,0
6717406,-0.091,-0.326,-0.040,0.001,0.013,-0.003,-111.407,-247.469,451.839,179.670,-2.580,-117.370,1,-0.0071,0.0294,0.1115,0
6717484,-0.207,-0.126,-0.027,-0.011,0.009,-0.003,-122.859,-253.058,450.062,179.678,-2.580,-117.370,1,-0.0071,0.0294,0.1115,0
6717625,-0.345,-0.372,-0.036,-0.002,0.001,-0.004,-122.859,-253.058,450.062,179.678,-2.580,-117.370,1,-0.0526,0.0061,0.0637,0
6717734,-0.207,-0.223,0.167,-0.012,-0.002,-0.004,-132.778,-260.866,440.961,179.677,-2.580,-117.370,1,-0.0738,-0.0268,-0.0099,0
6717843,-0.138,-0.117,0.073,-0.013,0.001,-0.003,-132.778,-260.866,440.961,179.677,-2.580,-117.370,1,-0.0738,-0.0268,-0.0099,0
6717921,-0.023,-0.328,-0.124,-0.005,0.011,-0.002,-131.833,-261.676,437.107,179.679,-2.580,-117.370,1,-0.0738,-0.0268,-0.0099,0
6718015,-0.117,-0.217,0.192,-0.011,0.008,-0.004,-131.833,-261.676,437.107,179.679,-2.580,-117.370,1,-0.0556,-0.0424,-0.0660,0
6718093,-0.223,-0.104,0.131,-0.018,-0.000,-0.005,-131.476,-263.534,432.980,179.680,-2.580,-117.370,1,-0.0556,-0.0424,-0.0660,0
6718171,-0.123,-0.344,0.031,-0.007,0.007,-0.004,-131.476,-263.534,432.980,179.680,-2.580,-117.370,1,-0.0115,-0.0304,-0.0772,0
6718281,-0.210,-0.193,0.106,-0.013,0.010,-0.003,-130.075,-262.526,428.708,179.680,-2.580,-117.370,1,0.0243,-0.0098,-0.0636,0
6718390,-0.246,-0.244,-0.009,-0.009,0.010,-0.004,-130.075,-262.526,428.708,179.680,-2.580,-117.370,1,0.0243,-0.0098,-0.0636,0
6718531,-0.285,-0.089,0.144,-0.011,0.006,-0.003,-128.864,-258.849,419.460,179.680,-2.580,-117.370,1,0.0243,-0.0098,-0.0636,0
6718578,-0.295,-0.034,0.108,-0.011,0.006,-0.003,-128.864,-258.849,419.460,179.680,-2.580,-117.370,1,0.0396,0.0112,-0.0494,0
6718625,-0.182,-0.161,0.080,-0.003,0.011,-0.003,-128.864,-258.849,419.460,179.680,-2.580,-117.370,1,0.0396,0.0112,-0.0494,0
6718703,-0.137,-0.212,0.175,-0.002,0.011,-0.005,-128.392,-256.218,413.282,179.680,-2.580,-117.370,1,0.0401,0.0257,-0.0352,0
6718843,-0.199,-0.159,-0.020,-0.007,0.008,-0.005,-128.392,-256.218,413.282,179.680,-2.580,-117.370,1,0.0401,0.0257,-0.0352,0
6718937,-0.238,-0.178,0.087,-0.007,0.008,-0.003,-128.793,-256.240,411.390,179.680,-2.580,-117.370,1,0.0296,0.0241,-0.0112,0
6719046,-0.229,-0.158,0.066,-0.008,0.008,-0.004,-128.793,-256.240,411.390,179.680,-2.580,-117.370,1,0.0296,0.0241,-0.0112,0
6719125,-0.209,-0.159,0.085,-0.008,0.009,-0.005,-128.706,-256.491,411.294,179.680,-2.580,-117.370,1,0.0296,0.0241,-0.0112,0
6719218,-0.144,-0.231,0.067,-0.003,0.012,-0.004,-128.706,-256.491,411.294,179.680,-2.580,-117.370,1,0.0167,0.0118,0.0178,0
6719296,-0.235,-0.217,0.086,-0.004,0.009,-0.003,-128.953,-260.161,413.707,179.680,-2.580,-117.370,1,0.0167,0.0118,0.0178,0
6719375,-0.191,-0.138,0.047,-0.012,0.011,-0.004,-128.953,-260.161,413.707,179.680,-2.580,-117.370,1,0.0070,-0.0049,0.0408,0
6719484,-0.369,-0.175,-0.037,-0.015,0.001,-0.004,-129.895,-264.924,417.977,179.680,-2.580,-117.370,1,-0.0007,-0.0250,0.0574,0
6719593,-0.182,-0.217,0.013,-0.009,0.012,-0.004,-129.895,-264.924,417.977,179.680,-2.580,-117.370,1,-0.0007,-0.0250,0.0574,0
6719734,-0.225,-0.207,0.003,-0.008,0.009,-0.003,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0007,-0.0250,0.0574,0
6719781,-0.214,-0.220,0.002,-0.008,0.009,-0.003,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6719828,-0.221,-0.212,0.054,-0.009,0.009,-0.005,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6719906,-0.210,-0.202,-0.003,-0.009,0.008,-0.004,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6720046,-0.244,-0.192,-0.008,-0.009,0.008,-0.003,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6720140,-0.214,-0.241,0.033,-0.009,0.009,-0.006,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6720250,-0.275,-0.166,0.013,-0.010,0.005,-0.005,-129.460,-264.990,418.070,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6720328,-0.055,-0.248,-0.009,0.000,0.015,-0.003,-128.362,-264.632,416.444,179.680,-2.580,-117.370,1,-0.0062,-0.0363,0.0623,0
6720421,-0.168,-0.066,0.012,-0.010,0.009,-0.002,-128.362,-264.632,416.444,179.680,-2.580,-117.370,1,0.0000,0.0000,0.0000,1
6720500,-0.153,-0.161,-0.010,-0.011,0.013,-0.003,-129.818,-267.960,413.895,179.680,-2.580,-117.370,1,0.0000,0.0000,0.0000,1
6720578,-0.058,-0.407,0.108,-0.003,0.012,-0.005,-129.818,-267.960,413.895,179.680,-2.580,-117.370,1,0.0000,0.0000,0.0000,1
6720687,-0.183,-0.019,0.065,-0.014,-0.000,-0.002,-135.127,-274.965,412.295,179.680,-2.580,-117.370,1,0.0000,0.0000,0.0000,1
6720796,-0.317,-0.276,0.057,-0.005,0.003,-0.005,-135.127,-274.965,412.295,179.680,-2.580,-117.370,1,0.0000,0.0000,0.0000,1
6720937,-0.370,-0.123,0.068,-0.015,0.002,-0.003,-138.544,-281.129,409.605,179.693,-2.580,-117.370,1,0.0000,0.0000,0.0000,0
6720984,-0.358,-0.104,0.099,-0.017,0.002,-0.003,-138.544,-281.129,409.605,179.693,-2.580,-117.370,1,0.0000,0.0000,0.0000,0
6721031,-0.269,-0.245,-0.008,-0.009,0.007,-0.003,-138.544,-281.129,409.605,179.693,-2.580,-117.370,1,0.0000,0.0000,0.0000,0
6721109,-0.194,-0.320,-0.001,-0.004,0.012,-0.004,-138.457,-282.291,408.392,179.686,-2.559,-117.370,1,0.0000,0.0000,0.0000,0
6721250,-0.236,-0.184,0.048,-0.009,0.009,-0.004,-138.457,-282.291,408.392,179.686,-2.559,-117.370,1,0.0000,0.0000,0.0000,0
6721343,-0.238,-0.187,-0.006,-0.007,0.009,-0.002,-137.954,-283.173,406.032,179.690,-2.562,-117.370,1,0.0004,0.0003,-0.0011,0
6721453,-0.310,-0.096,0.030,-0.012,0.006,-0.003,-137.954,-283.173,406.032,179.690,-2.562,-117.370,1,0.0004,0.0003,-0.0011,0
6721546,-0.191,-0.272,0.031,-0.002,0.013,-0.003,-137.724,-283.334,402.986,179.690,-2.560,-117.370,1,0.0004,0.0003,-0.0011,0
6721640,-0.229,-0.156,0.114,-0.010,0.008,-0.005,-137.724,-283.334,402.986,179.690,-2.560,-117.370,1,0.0010,0.0017,-0.0045,0
6721703,-0.295,-0.072,-0.000,-0.012,0.006,-0.002,-137.666,-283.872,401.019,179.690,-2.560,-117.370,1,0.0010,0.0017,-0.0045,0
6721781,-0.203,-0.225,-0.009,-0.004,0.010,-0.001,-137.666,-283.872,401.019,179.690,-2.560,-117.370,1,0.0007,0.0034,-0.0062,0
6721890,-0.271,-0.092,0.076,-0.010,0.007,-0.003,-137.580,-284.340,399.400,179.690,-2.560,-117.370,1,-0.0004,0.0033,-0.0028,0
6722015,-0.181,-0.209,0.025,-0.005,0.009,-0.004,-137.580,-284.340,399.400,179.690,-2.560,-117.370,1,-0.0004,0.0033,-0.0028,0
6722140,-0.263,-0.119,0.035,-0.008,0.008,-0.002,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0004,0.0033,-0.0028,0
6722187,-0.241,-0.158,0.023,-0.006,0.010,-0.003,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722234,-0.224,-0.152,0.040,-0.006,0.010,-0.004,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722328,-0.244,-0.114,0.032,-0.007,0.009,-0.003,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722468,-0.235,-0.129,0.057,-0.008,0.008,-0.004,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722562,-0.230,-0.149,0.034,-0.006,0.009,-0.002,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722671,-0.200,-0.152,0.035,-0.006,0.011,-0.002,-137.490,-284.910,399.720,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722750,-0.144,-0.266,-0.037,-0.003,0.013,-0.004,-138.047,-286.180,399.570,179.690,-2.560,-117.370,1,-0.0011,0.0023,0.0034,0
6722843,-0.196,-0.183,0.061,-0.014,0.011,-0.003,-138.047,-286.180,399.570,179.690,-2.560,-117.370,1,0.0000,0.0000,0.0000,1
6722906,-0.152,-0.312,0.039,-0.010,0.008,-0.003,-141.527,-291.920,399.560,179.690,-2.560,-117.370,1,0.0000,0.0000,0.0000,1
6723000,-0.037,-0.206,0.046,-0.009,0.009,-0.003,-141.527,-291.920,399.560,179.690,-2.560,-117.370,1,0.0000,0.0000,0.0000,1
6723109,-0.233,-0.144,-0.001,-0.012,0.010,-0.003,-148.113,-299.048,400.256,179.690,-2.560,-117.370,1,0.0000,0.0000,0.0000,1
6723218,-0.097,-0.240,0.064,-0.007,0.007,-0.003,-148.113,-299.048,400.256,179.690,-2.560,-117.370,1,0.0000,0.0000,0.0000,1
6723343,-0.384,-0.201,0.038,-0.012,0.002,-0.003,-160.692,-311.773,399.253,179.690,-2.560,-117.360,1,0.0000,0.0000,0.0000,1
