t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still,raw_x,raw_y,raw_z
10919234,-0.048,0.149,0.025,0.003,0.000,-0.001,-170.107,-289.911,245.542,-174.030,-3.800,-116.530,1,0.0311,0.0667,0.0094,0,-18.420,-2.900,4.880
10919343,-0.052,0.190,0.032,0.000,-0.001,-0.001,-170.107,-289.911,245.542,-174.030,-3.800,-116.530,1,0.0311,0.0667,0.0094,0,-18.330,-2.980,5.230
10919421,-0.062,0.170,0.020,0.002,0.000,-0.001,-170.303,-289.413,237.872,-174.030,-3.800,-116.530,1,0.0311,0.0667,0.0094,0,-18.320,-2.940,4.950
10919515,-0.087,0.110,-0.027,0.008,0.001,-0.000,-170.303,-289.413,237.872,-174.030,-3.800,-116.530,1,0.0396,0.0915,0.0112,0,-18.300,-2.720,4.630
10919593,-0.084,0.144,-0.019,-0.001,0.005,-0.000,-170.617,-288.320,230.984,-173.871,-3.721,-116.530,1,0.0396,0.0915,0.0112,0,-18.670,-2.670,5.130
10919671,-0.081,0.106,-0.001,0.006,0.005,0.001,-170.617,-288.320,230.984,-173.871,-3.721,-116.530,1,0.0393,0.0935,0.0231,0,-18.660,-2.870,4.920
10919781,-0.164,0.126,-0.039,0.003,0.003,-0.000,-170.915,-287.189,225.386,-173.918,-3.740,-116.487,1,0.0323,0.0802,0.0358,0,-18.450,-3.190,4.600
10919890,-0.122,0.104,-0.309,0.003,0.001,0.000,-170.915,-287.189,225.386,-173.918,-3.740,-116.487,1,0.0323,0.0802,0.0358,0,-18.380,-3.070,4.350
10920031,-0.249,0.042,-0.442,-0.006,-0.011,0.000,-172.504,-286.947,219.973,-173.914,-3.738,-116.495,1,0.0323,0.0802,0.0358,0,-18.580,-3.240,4.410
10920078,-0.262,0.065,-0.570,-0.012,-0.017,0.000,-172.504,-286.947,219.973,-173.914,-3.738,-116.495,1,0.0219,0.0593,0.0408,0,-18.430,-3.130,4.410
10920125,-0.151,0.061,-0.615,-0.015,-0.014,-0.001,-172.504,-286.947,219.973,-173.914,-3.738,-116.495,1,0.0219,0.0593,0.0408,0,-18.420,-2.910,4.320
10920203,-0.057,0.066,-0.794,-0.017,-0.010,-0.000,-174.079,-287.121,217.870,-173.915,-3.740,-116.491,1,0.0219,0.0593,0.0408,0,-18.300,-2.850,4.250
10920343,-0.184,0.061,-0.827,-0.011,-0.028,-0.001,-174.079,-287.121,217.870,-173.915,-3.740,-116.491,1,0.0111,0.0365,0.0423,0,-18.550,-3.140,4.110
10920437,-0.087,0.100,-0.833,-0.007,-0.027,0.002,-175.284,-287.890,216.610,-173.910,-3.740,-116.490,1,0.0033,0.0162,0.0450,0,-18.460,-2.860,4.210
10920546,-0.151,0.092,-0.871,-0.010,-0.032,0.001,-175.284,-287.890,216.610,-173.910,-3.740,-116.490,1,0.0033,0.0162,0.0450,0,-18.540,-3.100,3.790
10920625,-0.152,0.066,-0.893,-0.007,-0.034,0.001,-174.849,-287.811,216.570,-173.910,-3.740,-116.490,1,0.0017,0.0027,0.0455,0,-18.480,-2.960,4.010
10920718,-0.132,0.076,-0.832,-0.008,-0.032,0.001,-174.849,-287.811,216.570,-173.910,-3.740,-116.490,1,0.0017,0.0027,0.0455,0,-18.410,-2.990,4.250
10920796,-0.144,0.063,-0.811,-0.006,-0.033,0.000,-174.623,-287.796,216.596,-173.910,-3.740,-116.490,1,0.0017,0.0027,0.0455,0,-18.500,-2.950,4.050
10920875,-0.153,0.071,-0.832,-0.006,-0.032,0.001,-174.623,-287.796,216.596,-173.910,-3.740,-116.490,1,0.0050,-0.0029,0.0415,0,-18.550,-2.970,3.870
10920984,-0.166,0.054,-0.822,-0.007,-0.032,0.001,-174.610,-287.800,216.600,-173.910,-3.740,-116.490,1,0.0069,-0.0042,0.0336,0,-18.570,-2.980,4.000
10921031,-0.159,0.056,-0.819,-0.008,-0.032,0.000,-174.610,-287.800,216.600,-173.910,-3.740,-116.490,1,0.0069,-0.0042,0.0336,0,-18.510,-2.990,4.120
10921109,-0.142,0.079,-0.840,-0.009,-0.032,0.001,-174.610,-287.800,216.600,-173.910,-3.740,-116.490,1,0.0069,-0.0042,0.0336,0,-18.660,-2.950,3.840
10921250,-0.144,0.098,-0.825,-0.008,-0.032,0.002,-174.603,-287.817,216.614,-173.910,-3.740,-116.490,1,0.0069,-0.0042,0.0336,0,-18.570,-3.060,4.090
10921296,-0.142,0.088,-0.812,-0.006,-0.033,0.001,-174.603,-287.817,216.614,-173.910,-3.740,-116.490,1,0.0057,-0.0042,0.0235,0,-18.510,-3.000,4.100
10921343,-0.138,0.058,-0.794,-0.005,-0.033,0.000,-174.603,-287.817,216.614,-173.910,-3.740,-116.490,1,0.0057,-0.0042,0.0235,0,-18.580,-3.150,4.050
10921421,-0.157,0.094,-0.838,-0.005,-0.031,0.003,-174.280,-287.830,216.660,-173.910,-3.740,-116.490,1,0.0057,-0.0042,0.0235,0,-18.590,-3.000,4.110
10921562,-0.136,0.092,-0.821,-0.009,-0.032,0.000,-174.280,-287.830,216.660,-173.910,-3.740,-116.490,1,0.0042,-0.0035,0.0143,0,-18.510,-3.040,4.030
10921656,-0.154,0.091,-0.809,-0.008,-0.031,0.001,-174.120,-287.800,216.660,-173.910,-3.740,-116.490,1,0.0035,-0.0024,0.0071,0,-18.690,-2.930,3.900
10921765,-0.163,0.097,-0.797,-0.008,-0.031,0.001,-174.120,-287.800,216.660,-173.910,-3.740,-116.490,1,0.0035,-0.0024,0.0071,0,-18.480,-3.000,3.970
10921843,-0.147,0.082,-0.751,-0.010,-0.031,-0.001,-174.199,-287.811,216.660,-173.910,-3.740,-116.490,1,0.0035,-0.0024,0.0071,0,-18.440,-2.940,4.150
10921921,-0.125,0.102,-0.807,-0.012,-0.029,0.001,-174.199,-287.811,216.660,-173.910,-3.740,-116.490,1,0.0024,-0.0014,0.0023,1,-18.510,-3.010,4.280
10922015,-0.134,0.122,-0.814,-0.010,-0.027,0.002,-174.280,-287.830,216.660,-173.910,-3.740,-116.490,1,0.0024,-0.0014,0.0023,1,-18.600,-2.900,3.940
10922078,-0.148,0.128,-0.821,-0.007,-0.027,0.002,-174.280,-287.830,216.660,-173.910,-3.740,-116.490,1,0.0008,-0.0007,-0.0006,1,-18.520,-3.090,4.170
10922203,-0.139,0.097,-0.807,-0.006,-0.028,0.002,-174.200,-287.810,216.660,-173.910,-3.740,-116.490,1,-0.0002,-0.0003,-0.0019,1,-18.620,-2.850,3.780
10922296,-0.149,0.101,-0.794,-0.007,-0.030,0.001,-174.200,-287.810,216.660,-173.910,-3.740,-116.490,1,-0.0002,-0.0003,-0.0019,1,-18.500,-2.970,4.170
10922437,-0.147,0.109,-0.835,-0.008,-0.031,0.002,-174.200,-287.810,216.659,-173.910,-3.740,-116.490,1,-0.0002,-0.0003,-0.0019,1,-18.480,-3.010,4.130
10922484,-0.152,0.093,-0.821,-0.007,-0.030,0.003,-174.200,-287.810,216.659,-173.910,-3.740,-116.490,1,-0.0002,0.0001,-0.0022,1,-18.620,-2.930,3.830
10922531,-0.150,0.081,-0.833,-0.006,-0.029,0.002,-174.200,-287.810,216.659,-173.910,-3.740,-116.490,1,-0.0002,0.0001,-0.0022,1,-18.440,-2.950,4.110
10922609,-0.132,0.086,-0.850,-0.006,-0.029,0.001,-174.186,-287.867,216.531,-173.910,-3.740,-116.490,1,-0.0002,0.0001,-0.0022,1,-18.600,-2.870,3.810
